woonplaats,gemeente,provincie
Ter Apelkanaal,Westerwolde,Groningen
Ter Heijde,Westland,Zuid-Holland
Ter Idzard,Weststellingwerf,Friesland
Terband,Heerenveen,Friesland
Terborg,Oude IJsselstreek,Gelderland
Terheijden,Drimmelen,Noord-Brabant
Terherne,De Fryske Marren,Friesland
Terhole,Hulst,Zeeland
Terkaple,De Fryske Marren,Friesland
Termunten,Eemsdelta,Groningen
Termunterzijl,Eemsdelta,Groningen
Ternaard,Noardeast-Friesland,Friesland
Terneuzen,Terneuzen,Zeeland
Teroele,De Fryske Marren,Friesland
Terschuur,Barneveld,Gelderland
Tersoal,Súdwest-Friesland,Friesland
Terwispel,Opsterland,Friesland
Terwolde,Voorst,Gelderland
Teteringen,Breda,Noord-Brabant
Teuge,Voorst,Gelderland
Thesinge,Groningen,Groningen
Tholen,Tholen,Zeeland
Thorn,Maasgouw,Limburg
Tiel,Tiel,Gelderland
Tiendeveen,Hoogeveen,Drenthe
Tiendeveen,Midden-Drenthe,Drenthe
Tienhoven,Stichtse Vecht,Utrecht
Tienhoven aan de Lek,Vijfheerenlanden,Utrecht
Tienray,Horst aan de Maas,Limburg
Tijnje,Opsterland,Friesland
Tilburg,Tilburg,Noord-Brabant
Tilligte,Dinkelland,Overijssel
Tinallinge,Het Hogeland,Groningen
Tinte,Voorne aan Zee,Zuid-Holland
Tirns,Súdwest-Friesland,Friesland
Tjalhuizum,Súdwest-Friesland,Friesland
Tjalleberd,Heerenveen,Friesland
Tjerkgaast,De Fryske Marren,Friesland
Tjerkwerd,Súdwest-Friesland,Friesland
Tjuchem,Midden-Groningen,Groningen
Tolbert,Westerkwartier,Groningen
Toldijk,Bronckhorst,Gelderland
Tolkamer,Zevenaar,Gelderland
Tollebeek,Noordoostpolder,Flevoland
Tonden,Brummen,Gelderland
Toornwerd,Eemsdelta,Groningen
Tricht,West Betuwe,Gelderland
Tripscompagnie,Midden-Groningen,Groningen
Tubbergen,Tubbergen,Overijssel
Tuil,West Betuwe,Gelderland
Tuitjenhorn,Schagen,Noord-Holland
Tuk,Steenwijkerland,Overijssel
Tull en 't Waal,Houten,Utrecht
Twello,Voorst,Gelderland
Twijzel,Achtkarspelen,Friesland
Twijzelerheide,Achtkarspelen,Friesland
Twisk,Medemblik,Noord-Holland
Tynaarlo,Tynaarlo,Drenthe
Tytsjerk,Tytsjerksteradiel,Friesland
Tzum,Waadhoeke,Friesland
Tzummarum,Waadhoeke,Friesland
Ubbena,Assen,Drenthe
Ubbergen,Berg en Dal,Gelderland
Uddel,Apeldoorn,Gelderland
Uden,Maashorst,Noord-Brabant
Udenhout,Tilburg,Noord-Brabant
Uffelte,Westerveld,Drenthe
Ugchelen,Apeldoorn,Gelderland
Uitdam,Waterland,Noord-Holland
Uitgeest,Uitgeest,Noord-Holland
Uithoorn,Uithoorn,Noord-Holland
Uithuizen,Het Hogeland,Groningen
Uithuizermeeden,Het Hogeland,Groningen
Uitwellingerga,Súdwest-Friesland,Friesland
Uitwijk,Altena,Noord-Brabant
Ulestraten,Meerssen,Limburg
Ulft,Oude IJsselstreek,Gelderland
Ulicoten,Baarle-Nassau,Noord-Brabant
Ulrum,Het Hogeland,Groningen
Ulvenhout,Breda,Noord-Brabant
Ulvenhout AC,Alphen-Chaam,Noord-Brabant
Ureterp,Opsterland,Friesland
Urk,Urk,Flevoland
Urmond,Stein,Limburg
Ursem,Koggenland,Noord-Holland
Ursem gem. S,Alkmaar,Noord-Holland
Usquert,Het Hogeland,Groningen
Utrecht,Utrecht,Utrecht
Vaals,Vaals,Limburg
Vaassen,Epe,Gelderland
Valburg,Overbetuwe,Gelderland
Valkenburg,Valkenburg aan de Geul,Limburg
Valkenburg,Katwijk,Zuid-Holland
Valkenswaard,Valkenswaard,Noord-Brabant
Valthe,Borger-Odoorn,Drenthe
Valthermond,Borger-Odoorn,Drenthe
Varik,West Betuwe,Gelderland
Varsselder,Oude IJsselstreek,Gelderland
Varsseveld,Oude IJsselstreek,Gelderland
Vasse,Tubbergen,Overijssel
Veelerveen,Westerwolde,Groningen
Veen,Altena,Noord-Brabant
Veendam,Veendam,Groningen
Veenendaal,Veenendaal,Utrecht
Veenhuizen,Noordenveld,Drenthe
Veeningen,De Wolden,Drenthe
Veenoord,Emmen,Drenthe
Veere,Veere,Zeeland
Veessen,Heerde,Gelderland
Vegelinsoord,De Fryske Marren,Friesland
Veghel,Meierijstad,Noord-Brabant
Velddriel,Maasdriel,Gelderland
Velden,Venlo,Limburg
Veldhoven,Veldhoven,Noord-Brabant
Velp,Land van Cuijk,Noord-Brabant
Velp,Rheden,Gelderland
Velsen-Noord,Velsen,Noord-Holland
Velsen-Zuid,Velsen,Noord-Holland
Velserbroek,Velsen,Noord-Holland
Ven-Zelderheide,Gennep,Limburg
Venebrugge,Hardenberg,Overijssel
Venhorst,Boekel,Noord-Brabant
Venhuizen,Drechterland,Noord-Holland
Venlo,Venlo,Limburg
Venray,Venray,Limburg
Vessem,Eersel,Noord-Brabant
Vethuizen,Montferland,Gelderland
Veulen,Venray,Limburg
Vianen,Vijfheerenlanden,Utrecht
Vianen NB,Land van Cuijk,Noord-Brabant
Vierakker,Bronckhorst,Gelderland
Vierhouten,Nunspeet,Gelderland
Vierhuizen,Het Hogeland,Groningen
Vierlingsbeek,Land van Cuijk,Noord-Brabant
Vierpolders,Voorne aan Zee,Zuid-Holland
Vijfhuizen,Haarlemmermeer,Noord-Holland
Vijlen,Vaals,Limburg
Vilsteren,Ommen,Overijssel
Vinkega,Weststellingwerf,Friesland
Vinkel,Bernheze,Noord-Brabant
Vinkel,s-Hertogenbosch,Noord-Brabant
Vinkenbuurt,Ommen,Overijssel
Vinkeveen,De Ronde Venen,Utrecht
Visvliet,Westerkwartier,Groningen
Vlaardingen,Vlaardingen,Zuid-Holland
Vlagtwedde,Westerwolde,Groningen
Vledder,Westerveld,Drenthe
Vledderveen,Westerveld,Drenthe
Vledderveen,Stadskanaal,Groningen
Vleuten,Utrecht,Utrecht
Vlieland,Vlieland,Friesland
Vlierden,Deurne,Noord-Brabant
Vlijmen,Heusden,Noord-Brabant
Vlissingen,Vlissingen,Zeeland
Vlist,Krimpenerwaard,Zuid-Holland
Vlodrop,Roerdalen,Limburg
Voerendaal,Voerendaal,Limburg
Vogelenzang,Bloemendaal,Noord-Holland
Vogelwaarde,Hulst,Zeeland
Volendam,Edam-Volendam,Noord-Holland
Volkel,Maashorst,Noord-Brabant
Vollenhove,Steenwijkerland,Overijssel
Vondelingenplaat Rotterdam,Rotterdam,Zuid-Holland
Voorburg,Leidschendam-Voorburg,Zuid-Holland
Voorhout,Teylingen,Zuid-Holland
Voorschoten,Voorschoten,Zuid-Holland
Voorst,Oude IJsselstreek,Gelderland
Voorst,Voorst,Gelderland
Voorthuizen,Barneveld,Gelderland
Vorchten,Heerde,Gelderland
Vorden,Bronckhorst,Gelderland
Vorstenbosch,Bernheze,Noord-Brabant
Vortum-Mullem,Land van Cuijk,Noord-Brabant
Vragender,Oost Gelre,Gelderland
Vredenheim,Aa en Hunze,Drenthe
Vredepeel,Venray,Limburg
Vreeland,Stichtse Vecht,Utrecht
Vries,Tynaarlo,Drenthe
Vriescheloo,Westerwolde,Groningen
Vriezenveen,Twenterand,Overijssel
Vroomshoop,Twenterand,Overijssel
Vrouwenakker,Nieuwkoop,Zuid-Holland
Vrouwenparochie,Waadhoeke,Friesland
Vrouwenpolder,Veere,Zeeland
Vught,Vught,Noord-Brabant
Vuren,West Betuwe,Gelderland
Waaksens,Súdwest-Friesland,Friesland
Waal,Molenlanden,Zuid-Holland
Waalre,Waalre,Noord-Brabant
Waalwijk,Waalwijk,Noord-Brabant
Waarde,Reimerswaal,Zeeland
Waardenburg,West Betuwe,Gelderland
Waarder,Bodegraven-Reeuwijk,Zuid-Holland
Waardhuizen,Altena,Noord-Brabant
Waarland,Schagen,Noord-Holland
Waaxens,Noardeast-Friesland,Friesland
Wachtum,Coevorden,Drenthe
Waddinxveen,Waddinxveen,Zuid-Holland
Wadenoijen,Tiel,Gelderland
Wagenberg,Drimmelen,Noord-Brabant
Wagenborgen,Eemsdelta,Groningen
Wageningen,Wageningen,Gelderland
Walem,Valkenburg aan de Geul,Limburg
Walsoorden,Hulst,Zeeland
Wamel,West Maas en Waal,Gelderland
Wanneperveen,Steenwijkerland,Overijssel
Wanroij,Land van Cuijk,Noord-Brabant
Wanssum,Venray,Limburg
Wapenveld,Heerde,Gelderland
Wapse,Westerveld,Drenthe
Wapserveen,Westerveld,Drenthe
Warder,Edam-Volendam,Noord-Holland
Warffum,Het Hogeland,Groningen
Warfhuizen,Het Hogeland,Groningen
Warfstermolen,Noardeast-Friesland,Friesland
Warmenhuizen,Schagen,Noord-Holland
Warmond,Teylingen,Zuid-Holland
Warns,Súdwest-Friesland,Friesland
Warnsveld,Zutphen,Gelderland
Warstiens,Leeuwarden,Friesland
Warten,Leeuwarden,Friesland
Waskemeer,Ooststellingwerf,Friesland
Waspik,Waalwijk,Noord-Brabant
Wassenaar,Wassenaar,Zuid-Holland
Wateren,Westerveld,Drenthe
Watergang,Waterland,Noord-Holland
Waterhuizen,Midden-Groningen,Groningen
Wateringen,Westland,Zuid-Holland
Waterlandkerkje,Sluis,Zeeland
Waverveen,De Ronde Venen,Utrecht
Wedde,Westerwolde,Groningen
Weerselo,Dinkelland,Overijssel
Weert,Weert,Limburg
Weesp,Amsterdam,Noord-Holland
Wehe-den Hoorn,Het Hogeland,Groningen
Wehl,Doetinchem,Gelderland
Weidum,Leeuwarden,Friesland
Weiteveen,Emmen,Drenthe
Wekerom,Ede,Gelderland
Well,Maasdriel,Gelderland
Well L,Bergen,Limburg
Wellerlooi,Bergen,Limburg
Welsum,Olst-Wijhe,Overijssel
Wemeldinge,Kapelle,Zeeland
Wenum Wiesel,Apeldoorn,Gelderland
Wergea,Leeuwarden,Friesland
Werkendam,Altena,Noord-Brabant
Werkhoven,Bunnik,Utrecht
Wernhout,Zundert,Noord-Brabant
Wervershoof,Medemblik,Noord-Holland
Wesepe,Olst-Wijhe,Overijssel
Wessem,Maasgouw,Limburg
West-Graftdijk,Alkmaar,Noord-Holland
West-Terschelling,Terschelling,Friesland
Westbeemster,Purmerend,Noord-Holland
Westbroek,De Bilt,Utrecht
Westdorp,Borger-Odoorn,Drenthe
Westdorpe,Terneuzen,Zeeland
Westendorp,Oude IJsselstreek,Gelderland
Westerbeek,Land van Cuijk,Noord-Brabant
Westerbork,Midden-Drenthe,Drenthe
Westerbroek,Midden-Groningen,Groningen
Westeremden,Eemsdelta,Groningen
Westergeast,Noardeast-Friesland,Friesland
Westerhaar-Vriezenveensewijk,Twenterand,Overijssel
Westerhoven,Bergeijk,Noord-Brabant
Westerland,Hollands Kroon,Noord-Holland
Westerlee,Oldambt,Groningen
Westernieland,Het Hogeland,Groningen
Westervelde,Noordenveld,Drenthe
Westervoort,Westervoort,Gelderland
Westerwijtwerd,Eemsdelta,Groningen
Westhem,Súdwest-Friesland,Friesland
Westhoek,Waadhoeke,Friesland
Westkapelle,Veere,Zeeland
Westknollendam,Zaanstad,Noord-Holland
Westmaas,Hoeksche Waard,Zuid-Holland
Westwoud,Drechterland,Noord-Holland
Westzaan,Zaanstad,Noord-Holland
Wetering,Steenwijkerland,Overijssel
Weteringbrug,Haarlemmermeer,Noord-Holland
Wetsens,Noardeast-Friesland,Friesland
Wetsinge,Het Hogeland,Groningen
Weurt,Beuningen,Gelderland
Wezep,Oldebroek,Gelderland
Wezup,Coevorden,Drenthe
Wezuperbrug,Coevorden,Drenthe
Wichmond,Bronckhorst,Gelderland
Wier,Waadhoeke,Friesland
Wierden,Wierden,Overijssel
Wieringerwaard,Hollands Kroon,Noord-Holland
Wieringerwerf,Hollands Kroon,Noord-Holland
Wierum,Noardeast-Friesland,Friesland
Wijchen,Wijchen,Gelderland
Wijckel,De Fryske Marren,Friesland
Wijdenes,Drechterland,Noord-Holland
Wijdewormer,Wormerland,Noord-Holland
Wijhe,Olst-Wijhe,Overijssel
Wijk aan Zee,Beverwijk,Noord-Holland
Wijk bij Duurstede,Wijk bij Duurstede,Utrecht
Wijk en Aalburg,Altena,Noord-Brabant
Wijlre,Gulpen-Wittem,Limburg
Wijnaldum,Harlingen,Friesland
Wijnandsrade,Beekdaelen,Limburg
Wijnbergen,Montferland,Gelderland
Wijngaarden,Molenlanden,Zuid-Holland
Wijnjewoude,Opsterland,Friesland
Wijster,Midden-Drenthe,Drenthe
Wilbertoord,Land van Cuijk,Noord-Brabant
Wildervank,Veendam,Groningen
Wilhelminadorp,Goes,Zeeland
Wilhelminaoord,Westerveld,Drenthe
Willemsoord,Steenwijkerland,Overijssel
Willemstad,Moerdijk,Noord-Brabant
Wilnis,De Ronde Venen,Utrecht
Wilp,Voorst,Gelderland
Wilsum,Kampen,Overijssel
Winde,Tynaarlo,Drenthe
Windraak,Sittard-Geleen,Limburg
Winkel,Hollands Kroon,Noord-Holland
Winneweer,Groningen,Groningen
Winschoten,Oldambt,Groningen
Winssen,Beuningen,Gelderland
Winsum,Waadhoeke,Friesland
Winsum,Het Hogeland,Groningen
Wintelre,Eersel,Noord-Brabant
Winterswijk,Winterswijk,Gelderland
Winterswijk Brinkheurne,Winterswijk,Gelderland
Winterswijk Corle,Winterswijk,Gelderland
Winterswijk Henxel,Winterswijk,Gelderland
Winterswijk Huppel,Winterswijk,Gelderland
Winterswijk Kotten,Winterswijk,Gelderland
Winterswijk Meddo,Winterswijk,Gelderland
Winterswijk Miste,Winterswijk,Gelderland
Winterswijk Ratum,Winterswijk,Gelderland
Winterswijk Woold,Winterswijk,Gelderland
Wirdum,Leeuwarden,Friesland
Wirdum Gn,Eemsdelta,Groningen
Wissenkerke,Noord-Beveland,Zeeland
Witharen,Ommen,Overijssel
Witmarsum,Súdwest-Friesland,Friesland
Witte Paarden,Steenwijkerland,Overijssel
Wittelte,Westerveld,Drenthe
Wittem,Gulpen-Wittem,Limburg
Witteveen,Midden-Drenthe,Drenthe
Wiuwert,Súdwest-Friesland,Friesland
Wjelsryp,Waadhoeke,Friesland
Woensdrecht,Woensdrecht,Noord-Brabant
Woerden,Woerden,Utrecht
Woerdense Verlaat,Nieuwkoop,Zuid-Holland
Wognum,Medemblik,Noord-Holland
Woldendorp,Eemsdelta,Groningen
Wolfheze,Renkum,Gelderland
Wolphaartsdijk,Goes,Zeeland
Wolsum,Súdwest-Friesland,Friesland
Woltersum,Groningen,Groningen
Wolvega,Weststellingwerf,Friesland
Wommels,Súdwest-Friesland,Friesland
Wons,Súdwest-Friesland,Friesland
Workum,Súdwest-Friesland,Friesland
Wormer,Wormerland,Noord-Holland
Wormerveer,Zaanstad,Noord-Holland
Woubrugge,Kaag en Braassem,Zuid-Holland
Woudbloem,Midden-Groningen,Groningen
Woudenberg,Woudenberg,Utrecht
Woudrichem,Altena,Noord-Brabant
Woudsend,Súdwest-Friesland,Friesland
Wouw,Roosendaal,Noord-Brabant
Wouwse Plantage,Roosendaal,Noord-Brabant
Wyns,Tytsjerksteradiel,Friesland
Wytgaard,Leeuwarden,Friesland
Wâlterswâld,Dantumadiel,Friesland
Wânswert,Noardeast-Friesland,Friesland
Yde,Tynaarlo,Drenthe
Yerseke,Reimerswaal,Zeeland
Ypecolsga,Súdwest-Friesland,Friesland
Ysbrechtum,Súdwest-Friesland,Friesland
Ysselsteyn,Venray,Limburg
Zaamslag,Terneuzen,Zeeland
Zaandam,Zaanstad,Noord-Holland
Zaandijk,Zaanstad,Noord-Holland
Zalk,Kampen,Overijssel
Zaltbommel,Zaltbommel,Gelderland
Zandberg,Borger-Odoorn,Drenthe
Zandeweer,Het Hogeland,Groningen
Zandhuizen,Weststellingwerf,Friesland
Zandpol,Emmen,Drenthe
Zandvoort,Zandvoort,Noord-Holland
Zeddam,Montferland,Gelderland
Zeegse,Tynaarlo,Drenthe
Zeeland,Maashorst,Noord-Brabant
Zeerijp,Eemsdelta,Groningen
Zeewolde,Zeewolde,Flevoland
Zegge,Rucphen,Noord-Brabant
Zegveld,Woerden,Utrecht
Zeijen,Tynaarlo,Drenthe
Zeijerveen,Assen,Drenthe
Zeijerveld,Assen,Drenthe
Zeist,Zeist,Utrecht
Zelhem,Bronckhorst,Gelderland
Zenderen,Borne,Overijssel
Zennewijnen,West Betuwe,Gelderland
Zennewijnen,Tiel,Gelderland
Zetten,Overbetuwe,Gelderland
Zevenaar,Zevenaar,Gelderland
Zevenbergen,Moerdijk,Noord-Brabant
Zevenbergschen Hoek,Drimmelen,Noord-Brabant
Zevenbergschen Hoek,Moerdijk,Noord-Brabant
Zevenhoven,Nieuwkoop,Zuid-Holland
Zevenhuizen,Zuidplas,Zuid-Holland
Zevenhuizen,Westerkwartier,Groningen
Zierikzee,Schouwen-Duiveland,Zeeland
Zieuwent,Oost Gelre,Gelderland
Zijderveld,Vijfheerenlanden,Utrecht
Zijdewind,Hollands Kroon,Noord-Holland
Zijldijk,Eemsdelta,Groningen
Zoelen,Buren,Gelderland
Zoelmond,Buren,Gelderland
Zoetermeer,Zoetermeer,Zuid-Holland
Zoeterwoude,Zoeterwoude,Zuid-Holland
Zonnemaire,Schouwen-Duiveland,Zeeland
Zorgvlied,Westerveld,Drenthe
Zoutelande,Veere,Zeeland
Zoutkamp,Het Hogeland,Groningen
Zuid-Beijerland,Hoeksche Waard,Zuid-Holland
Zuid-Scharwoude,Dijk en Waard,Noord-Holland
Zuidbroek,Midden-Groningen,Groningen
Zuiddorpe,Terneuzen,Zeeland
Zuidermeer,Koggenland,Noord-Holland
Zuiderwoude,Waterland,Noord-Holland
Zuidhorn,Westerkwartier,Groningen
Zuidlaarderveen,Tynaarlo,Drenthe
Zuidland,Nissewaard,Zuid-Holland
Zuidlaren,Tynaarlo,Drenthe
Zuidoostbeemster,Purmerend,Noord-Holland
Zuidschermer,Alkmaar,Noord-Holland
Zuidveen,Steenwijkerland,Overijssel
Zuidveld,Midden-Drenthe,Drenthe
Zuidvelde,Noordenveld,Drenthe
Zuidwolde,Het Hogeland,Groningen
Zuidwolde,De Wolden,Drenthe
Zuidzande,Sluis,Zeeland
Zuilichem,Zaltbommel,Gelderland
Zuna,Wierden,Overijssel
Zundert,Zundert,Noord-Brabant
Zurich,Súdwest-Friesland,Friesland
Zutphen,Zutphen,Gelderland
Zuurdijk,Het Hogeland,Groningen
Zwaag,Hoorn,Noord-Holland
Zwaagdijk-Oost,Medemblik,Noord-Holland
Zwaagdijk-West,Medemblik,Noord-Holland
Zwaanshoek,Haarlemmermeer,Noord-Holland
Zwammerdam,Alphen aan den Rijn,Zuid-Holland
Zwanenburg,Haarlemmermeer,Noord-Holland
Zwartebroek,Barneveld,Gelderland
Zwartemeer,Emmen,Drenthe
Zwartewaal,Voorne aan Zee,Zuid-Holland
Zwartsluis,Zwartewaterland,Overijssel
Zweeloo,Coevorden,Drenthe
Zweins,Waadhoeke,Friesland
Zwiggelte,Midden-Drenthe,Drenthe
Zwijndrecht,Zwijndrecht,Zuid-Holland
Zwinderen,Coevorden,Drenthe
Zwolle,Zwolle,Overijssel
de Hoef,De Ronde Venen,Utrecht
de Lutte,Losser,Overijssel
de Wijk,De Wolden,Drenthe
de Woude,Castricum,Noord-Holland
s Gravenmoer,Dongen,Noord-Brabant
s-Graveland,Wijdemeren,Noord-Holland
s-Gravendeel,Hoeksche Waard,Zuid-Holland
s-Gravenhage / Den Haag,Den Haag,Zuid-Holland
s-Gravenpolder,Borsele,Zeeland
s-Gravenzande,Westland,Zuid-Holland
s-Heer Abtskerke,Borsele,Zeeland
s-Heer Arendskerke,Goes,Zeeland
s-Heer Hendrikskinderen,Goes,Zeeland
s-Heerenberg,Montferland,Gelderland
s-Heerenbroek,Kampen,Overijssel
s-Heerenhoek,Borsele,Zeeland
s-Hertogenbosch / Den Bosch,s-Hertogenbosch,Noord-Brabant
t Goy,Houten,Utrecht
t Haantje,Coevorden,Drenthe
t Harde,Elburg,Gelderland
t Loo,Oldebroek,Gelderland
t Veld,Hollands Kroon,Noord-Holland
t Waar,Oldambt,Groningen
t Zand,Schagen,Noord-Holland
t Zandt,Eemsdelta,Groningen
